xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1047797,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-10,12:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047797,https://xeno-canto.org/1047797/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047797.mp3
1047795,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-02,10:00,38,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047795,https://xeno-canto.org/1047795/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047795.mp3
1047794,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-01,08:00,12,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047794,https://xeno-canto.org/1047794/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047794.mp3
1047793,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-12,05:00,50,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047793,https://xeno-canto.org/1047793/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047793.mp3
1047792,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-09,06:00,37,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047792,https://xeno-canto.org/1047792/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047792.mp3
1047791,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2020-05-08,08:00,8,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047791,https://xeno-canto.org/1047791/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047791.mp3
1047790,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2020-05-08,08:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047790,https://xeno-canto.org/1047790/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047790.mp3
1047789,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2015-05-18,06:30,9,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1047789,https://xeno-canto.org/1047789/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047789.mp3
1047787,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2009-05-02,10:30,18,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1047787,https://xeno-canto.org/1047787/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047787.mp3
1047768,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2011-05-31,05:00,9,A,singing,field recording,yes,[],96000,https://xeno-canto.org/1047768,https://xeno-canto.org/1047768/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1047768.mp3
1023233,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2025-07-27,09:00,50,A,begging call,field recording,yes,[],32000,https://xeno-canto.org/1023233,https://xeno-canto.org/1023233/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1023233.mp3
1008676,Cuculus canorus,Common Cuckoo,David Pennington,United Kingdom,2025-06-21,03:56,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1008676,https://xeno-canto.org/1008676/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC1008676.mp3
995621,Cuculus canorus,Common Cuckoo,Paul Lynch,Ireland,2025-05-03,07:00,22,A,song,field recording,yes,"[""Turdus merula"", ""Erithacus rubecula"", ""Troglodytes troglodytes"", ""Passer domesticus""]",44100,https://xeno-canto.org/995621,https://xeno-canto.org/995621/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC995621.mp3
994981,Cuculus canorus,Common Cuckoo,Paul Lynch,Ireland,2025-05-03,06:00,36,A,song,field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes"", ""Phasianus colchicus"", ""Linaria cannabina""]",44100,https://xeno-canto.org/994981,https://xeno-canto.org/994981/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC994981.mp3
985856,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2024-04-23,19:30,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/985856,https://xeno-canto.org/985856/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC985856.mp3
921390,Cuculus canorus,Common Cuckoo,Dean McDonnell,Ireland,2023-05-25,20:00,12,A,song,field recording,no,[],48000,https://xeno-canto.org/921390,https://xeno-canto.org/921390/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC921390.mp3
917958,Cuculus canorus,Common Cuckoo,Arjun Dutta,United Kingdom,2024-06-03,20:15,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/917958,https://xeno-canto.org/917958/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC917958.mp3
907146,Cuculus canorus,Common Cuckoo,Dean McDonnell,Ireland,2024-05-16,04:30,60,A,song,field recording,no,[],44100,https://xeno-canto.org/907146,https://xeno-canto.org/907146/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC907146.mp3
907141,Cuculus canorus,Common Cuckoo,Dean McDonnell,Ireland,2024-05-13,06:00,11,A,"call, song",field recording,no,"[""Phylloscopus trochilus"", ""Sylvia atricapilla""]",44100,https://xeno-canto.org/907141,https://xeno-canto.org/907141/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC907141.mp3
861920,Cuculus canorus,Common Cuckoo,Peter Stronach,United Kingdom,2023-05-31,16:55,20,A,song,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/861920,https://xeno-canto.org/861920/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC861920.mp3
779253,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,21:30,11,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/779253,https://xeno-canto.org/779253/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cuculus_canorus/XC779253.mp3
