xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1087425,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2026-03-12,07:00,37,A,song,field recording,yes,[],48000,https://xeno-canto.org/1087425,https://xeno-canto.org/1087425/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1087425.mp3
1086955,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2026-03-05,17:30,56,A,song,field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/1086955,https://xeno-canto.org/1086955/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1086955.mp3
1086549,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,34,A,song,field recording,no,[],48000,https://xeno-canto.org/1086549,https://xeno-canto.org/1086549/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1086549.mp3
1019089,Turdus philomelos,Song Thrush,Filippo Ceccolini,United Kingdom,2025-07-23,20:30,31,A,song,field recording,no,[],48000,https://xeno-canto.org/1019089,https://xeno-canto.org/1019089/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1019089.mp3
1010005,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,32,A,song,field recording,yes,[],32000,https://xeno-canto.org/1010005,https://xeno-canto.org/1010005/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1010005.mp3
647776,Turdus philomelos,Song Thrush,Irish Wildlife Sounds,Ireland,2021-04-11,10:00,31,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/647776,https://xeno-canto.org/647776/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC647776.mp3
626598,Turdus philomelos,Song Thrush,Will Scott,United Kingdom,2021-03-05,02:44,2,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/626598,https://xeno-canto.org/626598/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC626598.mp3
597567,Turdus philomelos,Song Thrush,Paul Parry,United Kingdom,2020-07-25,15:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/597567,https://xeno-canto.org/597567/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC597567.mp3
543872,Turdus philomelos,Song Thrush,Peter Stronach,United Kingdom,2020-03-26,18:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/543872,https://xeno-canto.org/543872/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC543872.mp3
459983,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2019-02-28,08:00,51,A,song,field recording,yes,[],48000,https://xeno-canto.org/459983,https://xeno-canto.org/459983/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC459983.mp3
309714,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,10,A,song,field recording,yes,[],48000,https://xeno-canto.org/309714,https://xeno-canto.org/309714/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC309714.mp3
309713,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/309713,https://xeno-canto.org/309713/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC309713.mp3
255239,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2015-06-11,17:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/255239,https://xeno-canto.org/255239/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC255239.mp3
187884,Turdus philomelos,Song Thrush,david m,United Kingdom,2014-04-27,05:45,56,A,song,field recording,yes,"[""Columba palumbus"", ""Chloris chloris""]",48000,https://xeno-canto.org/187884,https://xeno-canto.org/187884/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC187884.mp3
185875,Turdus philomelos,Song Thrush,david m,United Kingdom,2014-04-13,06:08,51,A,song,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/185875,https://xeno-canto.org/185875/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC185875.mp3
145646,Turdus philomelos,Song Thrush,Patrik Åberg,United Kingdom,2013-07-11,06:22,37,A,song,field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/145646,https://xeno-canto.org/145646/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC145646.mp3
1088441,Turdus philomelos,Song Thrush,Lionel Triboulin,France,2026-03-06,19:30,40,A,song,field recording,yes,[],44100,https://xeno-canto.org/1088441,https://xeno-canto.org/1088441/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1088441.mp3
1088439,Turdus philomelos,Song Thrush,Lionel Triboulin,France,2026-03-06,19:30,37,A,song,field recording,yes,[],44100,https://xeno-canto.org/1088439,https://xeno-canto.org/1088439/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1088439.mp3
1087302,Turdus philomelos,Song Thrush,Diego Pastor,Spain,2026-03-01,08:30,56,A,song,field recording,yes,[],44100,https://xeno-canto.org/1087302,https://xeno-canto.org/1087302/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1087302.mp3
1080501,Turdus philomelos,Song Thrush,Marc Anderson,Sweden,2022-05-27,08:30,35,A,song,field recording,no,[],44100,https://xeno-canto.org/1080501,https://xeno-canto.org/1080501/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1080501.mp3
1080500,Turdus philomelos,Song Thrush,Marc Anderson,Sweden,2022-05-27,08:30,26,A,song,field recording,no,[],44100,https://xeno-canto.org/1080500,https://xeno-canto.org/1080500/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1080500.mp3
1079339,Turdus philomelos,Song Thrush,Marc Anderson,Sweden,2022-06-04,05:00,22,A,song,field recording,no,[],44100,https://xeno-canto.org/1079339,https://xeno-canto.org/1079339/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1079339.mp3
1019199,Turdus philomelos,Song Thrush,Manuel Grosselet,France,2025-06-18,18:45,46,A,song,field recording,yes,"[""Columba palumbus"", ""Turdus merula""]",44100,https://xeno-canto.org/1019199,https://xeno-canto.org/1019199/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1019199.mp3
1004197,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2025-06-03,11:13,42,A,song,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/1004197,https://xeno-canto.org/1004197/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1004197.mp3
1004195,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2025-06-03,10:53,52,A,song,field recording,yes,"[""Fringilla coelebs"", ""Certhia brachydactyla"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1004195,https://xeno-canto.org/1004195/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1004195.mp3
1001633,Turdus philomelos,Song Thrush,Luca Baghino,Italy,2025-05-26,07:00,52,A,song,field recording,no,"[""Sylvia atricapilla"", ""Turdus merula""]",48000,https://xeno-canto.org/1001633,https://xeno-canto.org/1001633/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC1001633.mp3
999269,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2025-05-17,04:30,34,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/999269,https://xeno-canto.org/999269/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC999269.mp3
978523,Turdus philomelos,Song Thrush,Vincent Pourchaire,France,2025-03-07,09:00,55,A,song,field recording,no,[],48000,https://xeno-canto.org/978523,https://xeno-canto.org/978523/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC978523.mp3
975800,Turdus philomelos,Song Thrush,Arjan Boonman,Germany,2025-02-24,18:18,57,A,song,field recording,no,"[""Turdus merula""]",48000,https://xeno-canto.org/975800,https://xeno-canto.org/975800/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC975800.mp3
920534,Turdus philomelos,Song Thrush,Hannu Varkki,Finland,2023-05-15,02:59,46,A,song,field recording,no,"[""Lyrurus tetrix"", ""Poecile montanus""]",48000,https://xeno-canto.org/920534,https://xeno-canto.org/920534/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC920534.mp3
912710,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2024-06-12,18:00,40,A,song,field recording,no,"[""Phylloscopus collybita""]",44100,https://xeno-canto.org/912710,https://xeno-canto.org/912710/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC912710.mp3
905174,Turdus philomelos,Song Thrush,Elias Tibax,Belgium,2024-05-21,21:00,51,A,,field recording,yes,[],44100,https://xeno-canto.org/905174,https://xeno-canto.org/905174/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC905174.mp3
884647,Turdus philomelos,Song Thrush,Romuald Mikusek,Poland,2024-03-19,18:00,7,A,"aberrant, flight call, imitation",field recording,no,[],44100,https://xeno-canto.org/884647,https://xeno-canto.org/884647/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC884647.mp3
881157,Turdus philomelos,Song Thrush,Martin Billard,France,2024-03-06,09:00,51,A,song,field recording,yes,[],44100,https://xeno-canto.org/881157,https://xeno-canto.org/881157/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_philomelos/XC881157.mp3
