xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089396,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,22,A,call,field recording,no,[],48000,https://xeno-canto.org/1089396,https://xeno-canto.org/1089396/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC1089396.mp3
1078573,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2026-01-31,10:00,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/1078573,https://xeno-canto.org/1078573/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC1078573.mp3
1067264,Aegithalos caudatus,Long-tailed Tit,Laura Martin,France,2025-12-22,13:00,56,A,call,field recording,yes,[],44100,https://xeno-canto.org/1067264,https://xeno-canto.org/1067264/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC1067264.mp3
1045039,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2025-09-30,07:30,34,A,call,field recording,no,"[""Pyrrhula pyrrhula""]",44100,https://xeno-canto.org/1045039,https://xeno-canto.org/1045039/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC1045039.mp3
980798,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2025-03-16,07:00,18,A,call,field recording,yes,"[""Cyanistes caeruleus""]",48000,https://xeno-canto.org/980798,https://xeno-canto.org/980798/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC980798.mp3
973579,Aegithalos caudatus,Long-tailed Tit,Esteban Vilboux,France,2025-02-16,09:00,35,A,call,in the hand,yes,[],48000,https://xeno-canto.org/973579,https://xeno-canto.org/973579/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC973579.mp3
964244,Aegithalos caudatus,Long-tailed Tit,Niclas Backstrom,Sweden,2025-01-26,12:30,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/964244,https://xeno-canto.org/964244/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC964244.mp3
956010,Aegithalos caudatus,Long-tailed Tit,Jacobo Ramil Millarengo,Spain,2024-12-19,18:30,42,A,"call, anxious calls",field recording,yes,[],44100,https://xeno-canto.org/956010,https://xeno-canto.org/956010/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC956010.mp3
951577,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,5,A,"alarm call, call",field recording,yes,"[""Parus major""]",32000,https://xeno-canto.org/951577,https://xeno-canto.org/951577/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951577.mp3
951576,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,24,A,"alarm call, call",field recording,yes,"[""Cyanistes caeruleus""]",32000,https://xeno-canto.org/951576,https://xeno-canto.org/951576/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951576.mp3
951574,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,22,A,call,field recording,yes,"[""Phylloscopus collybita""]",32000,https://xeno-canto.org/951574,https://xeno-canto.org/951574/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951574.mp3
951573,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,36,A,call,field recording,yes,[],32000,https://xeno-canto.org/951573,https://xeno-canto.org/951573/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951573.mp3
951571,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,12,A,call,field recording,yes,[],32000,https://xeno-canto.org/951571,https://xeno-canto.org/951571/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951571.mp3
951570,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,8,A,call,field recording,yes,[],32000,https://xeno-canto.org/951570,https://xeno-canto.org/951570/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951570.mp3
951568,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,32,A,call,field recording,yes,"[""Phoenicurus ochruros"", ""Turdus merula""]",32000,https://xeno-canto.org/951568,https://xeno-canto.org/951568/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/aegithalos_caudatus/XC951568.mp3
