xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1047057,Phylloscopus trochilus,Willow Warbler,João Tomás,Spain,2025-10-05,8:25,47,A,call,field recording,yes,"[""Motacilla alba"", ""Motacilla cinerea""]",44100,https://xeno-canto.org/1047057,https://xeno-canto.org/1047057/download,
1014947,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-07-10,06:00,37,A,song,field recording,yes,[],48000,https://xeno-canto.org/1014947,https://xeno-canto.org/1014947/download,
1011607,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-07-05,06:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1011607,https://xeno-canto.org/1011607/download,
1009211,Phylloscopus trochilus,Willow Warbler,Ulf Elman,Sweden,2025-06-22,03:43,35,A,song,field recording,no,"[""Anthus pratensis""]",48000,https://xeno-canto.org/1009211,https://xeno-canto.org/1009211/download,
1000141,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2025-04-27,11:02,45,A,song,field recording,yes,[],48000,https://xeno-canto.org/1000141,https://xeno-canto.org/1000141/download,
997389,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-05-12,08:00,44,A,song,field recording,yes,"[""Curruca curruca""]",48000,https://xeno-canto.org/997389,https://xeno-canto.org/997389/download,
989893,Phylloscopus trochilus,Willow Warbler,Noé Ferrari,France,2025-04-07,15:00,49,A,song,field recording,yes,[],48000,https://xeno-canto.org/989893,https://xeno-canto.org/989893/download,
985824,Phylloscopus trochilus,Willow Warbler,Abe Bakker,Netherlands,2025-04-04,08:26,45,A,song,field recording,no,[],96000,https://xeno-canto.org/985824,https://xeno-canto.org/985824/download,
985809,Phylloscopus trochilus,Willow Warbler,Abe Bakker,Netherlands,2025-04-04,07:13,19,A,song,field recording,yes,[],96000,https://xeno-canto.org/985809,https://xeno-canto.org/985809/download,
975235,Phylloscopus trochilus,Willow Warbler,Lars Redetzke,Germany,2021-04-26,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Turdus philomelos"", ""Phalacrocorax carbo"", ""Prunella modularis"", ""Phylloscopus collybita"", ""Phasianus colchicus""]",44100,https://xeno-canto.org/975235,https://xeno-canto.org/975235/download,
938544,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2023-04-29,09:00,29,A,song,field recording,yes,"[""Acrocephalus schoenobaenus"", ""Cettia cetti""]",44100,https://xeno-canto.org/938544,https://xeno-canto.org/938544/download,
938543,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2024-04-13,09:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/938543,https://xeno-canto.org/938543/download,
928481,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2024-08-17,08:00,28,A,subsong,field recording,no,[],44100,https://xeno-canto.org/928481,https://xeno-canto.org/928481/download,
908827,Phylloscopus trochilus,Willow Warbler,Olivier SWIFT,France,2024-05-16,09:08,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/908827,https://xeno-canto.org/908827/download,
908609,Phylloscopus trochilus,Willow Warbler,Martin Billard,France,2024-05-25,09:01,5,A,song,field recording,yes,[],44100,https://xeno-canto.org/908609,https://xeno-canto.org/908609/download,
908604,Phylloscopus trochilus,Willow Warbler,Martin Billard,France,2024-05-25,08:59,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/908604,https://xeno-canto.org/908604/download,
903259,Phylloscopus trochilus,Willow Warbler,Stephan Risch,Germany,2024-04-23,11:14,44,A,song,field recording,no,"[""Parus major""]",32000,https://xeno-canto.org/903259,https://xeno-canto.org/903259/download,
871741,Phylloscopus trochilus,Willow Warbler,Alain Malengreau,France,2023-04-25,09:00,35,A,song,field recording,yes,"[""Troglodytes troglodytes""]",48000,https://xeno-canto.org/871741,https://xeno-canto.org/871741/download,
870833,Phylloscopus trochilus,Willow Warbler,Alain Malengreau,France,2023-06-05,11:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/870833,https://xeno-canto.org/870833/download,
855110,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2023-04-17,11:58,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/855110,https://xeno-canto.org/855110/download,
838290,Phylloscopus trochilus,Willow Warbler,cyclopithecus,Sweden,2022-05-05,04:45,27,A,song,field recording,no,[],48000,https://xeno-canto.org/838290,https://xeno-canto.org/838290/download,
833638,Phylloscopus trochilus,Willow Warbler,Agris Celmins,Denmark,2009-05-02,08:48,20,A,call,field recording,yes,[],48000,https://xeno-canto.org/833638,https://xeno-canto.org/833638/download,
822190,Phylloscopus trochilus,Willow Warbler,James Lambert,United Kingdom,2023-06-13,14:15,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/822190,https://xeno-canto.org/822190/download,
820883,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-08-06,08:00,56,A,call,field recording,yes,[],48000,https://xeno-canto.org/820883,https://xeno-canto.org/820883/download,
819542,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-07-30,08:30,15,A,call,field recording,yes,"[""Poecile montanus""]",48000,https://xeno-canto.org/819542,https://xeno-canto.org/819542/download,
802264,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-19,07:00,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/802264,https://xeno-canto.org/802264/download,
801762,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-17,09:00,43,A,,field recording,yes,[],48000,https://xeno-canto.org/801762,https://xeno-canto.org/801762/download,
800943,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-14,07:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/800943,https://xeno-canto.org/800943/download,
800704,Phylloscopus trochilus,Willow Warbler,Susanne Kuijpers,Netherlands,2023-05-12,08:39,28,A,song,field recording,no,"[""Fringilla coelebs"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/800704,https://xeno-canto.org/800704/download,
799239,Phylloscopus trochilus,Willow Warbler,W. Agster,Germany,2023-05-07,10:30,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/799239,https://xeno-canto.org/799239/download,
798800,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-07,07:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/798800,https://xeno-canto.org/798800/download,
797006,Phylloscopus trochilus,Willow Warbler,Bodo Sonnenburg,Germany,2023-04-30,05:38,38,A,song,field recording,yes,"[""Anser anser"", ""Phoenicurus phoenicurus""]",48000,https://xeno-canto.org/797006,https://xeno-canto.org/797006/download,
796488,Phylloscopus trochilus,Willow Warbler,Jorge Leitão,Germany,2023-04-27,10:47,55,A,song,field recording,yes,"[""Phoenicurus ochruros"", ""Turdus merula"", ""Parus major""]",44100,https://xeno-canto.org/796488,https://xeno-canto.org/796488/download,
769197,Phylloscopus trochilus,Willow Warbler,Michel Veldt,Netherlands,2021-04-14,10:45,15,A,song,field recording,yes,[],44100,https://xeno-canto.org/769197,https://xeno-canto.org/769197/download,
745682,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-08-24,07:00,3,A,subsong,field recording,no,[],44100,https://xeno-canto.org/745682,https://xeno-canto.org/745682/download,
743382,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-08-14,06:00,32,A,subsong,field recording,no,[],44100,https://xeno-canto.org/743382,https://xeno-canto.org/743382/download,
743077,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-08-14,06:00,34,A,call,field recording,no,[],44100,https://xeno-canto.org/743077,https://xeno-canto.org/743077/download,
743076,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-08-12,05:00,21,A,subsong,field recording,no,[],44100,https://xeno-canto.org/743076,https://xeno-canto.org/743076/download,
742621,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-08-09,06:00,15,A,subsong,field recording,no,[],44100,https://xeno-canto.org/742621,https://xeno-canto.org/742621/download,
741851,Phylloscopus trochilus,Willow Warbler,Bodo Sonnenburg,Germany,2022-08-07,05:23,46,A,call,field recording,yes,[],48000,https://xeno-canto.org/741851,https://xeno-canto.org/741851/download,
731485,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-06-08,16:00,54,A,song,field recording,yes,[],48000,https://xeno-canto.org/731485,https://xeno-canto.org/731485/download,
731070,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-06-08,05:00,37,A,song,field recording,yes,[],48000,https://xeno-canto.org/731070,https://xeno-canto.org/731070/download,
727605,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-05-29,07:00,33,A,song,field recording,yes,"[""Sylvia borin""]",48000,https://xeno-canto.org/727605,https://xeno-canto.org/727605/download,
726431,Phylloscopus trochilus,Willow Warbler,Dean McDonnell,Ireland,2021-04-24,12:00,30,A,song,field recording,yes,[],44100,https://xeno-canto.org/726431,https://xeno-canto.org/726431/download,
725013,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2022-05-18,07:30,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/725013,https://xeno-canto.org/725013/download,
716865,Phylloscopus trochilus,Willow Warbler,Joost van Bruggen,Netherlands,2022-04-15,09:11,38,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Erithacus rubecula"", ""Anthus trivialis""]",48000,https://xeno-canto.org/716865,https://xeno-canto.org/716865/download,
716338,Phylloscopus trochilus,Willow Warbler,Bastian Forkel,Germany,2022-04-18,07:30,18,A,song,field recording,no,[],44100,https://xeno-canto.org/716338,https://xeno-canto.org/716338/download,
709855,Phylloscopus trochilus,Willow Warbler,Agris Celmins,Denmark,2009-05-02,08:44,21,A,song,field recording,yes,"[""Branta leucopsis"", ""Curruca curruca"", ""Parus major"", ""Corvus cornix""]",44100,https://xeno-canto.org/709855,https://xeno-canto.org/709855/download,
699178,Phylloscopus trochilus,Willow Warbler,Dominique Guillerme,France,2020-04-25,09:30,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/699178,https://xeno-canto.org/699178/download,
687547,Phylloscopus trochilus,Willow Warbler,Irish Wildlife Sounds,Ireland,2021-06-18,13:00,36,A,"aberrant, song, mixed singer",field recording,yes,[],44100,https://xeno-canto.org/687547,https://xeno-canto.org/687547/download,
666605,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2021-08-06,07:00,6,A,subsong,field recording,yes,[],48000,https://xeno-canto.org/666605,https://xeno-canto.org/666605/download,
659402,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2021-06-26,13:00,15,A,call,field recording,yes,"[""Sylvia borin"", ""Curruca communis""]",48000,https://xeno-canto.org/659402,https://xeno-canto.org/659402/download,
656942,Phylloscopus trochilus,Willow Warbler,Ireneusz Oleksik,Poland,2021-06-14,20:50,47,A,song,field recording,yes,"[""Acrocephalus arundinaceus""]",48000,https://xeno-canto.org/656942,https://xeno-canto.org/656942/download,
655459,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2021-06-09,07:00,35,A,song,field recording,yes,"[""Sylvia borin""]",48000,https://xeno-canto.org/655459,https://xeno-canto.org/655459/download,
652860,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2021-05-30,07:00,39,A,song,field recording,yes,"[""Fringilla coelebs"", ""Spinus spinus""]",48000,https://xeno-canto.org/652860,https://xeno-canto.org/652860/download,
649924,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2021-05-19,17:00,32,A,song,field recording,yes,[],48000,https://xeno-canto.org/649924,https://xeno-canto.org/649924/download,
648468,Phylloscopus trochilus,Willow Warbler,Irish Wildlife Sounds,Ireland,2021-04-25,10:00,53,A,song,field recording,yes,[],44100,https://xeno-canto.org/648468,https://xeno-canto.org/648468/download,
648388,Phylloscopus trochilus,Willow Warbler,Irish Wildlife Sounds,Ireland,2021-04-17,10:00,22,A,song,field recording,yes,[],44100,https://xeno-canto.org/648388,https://xeno-canto.org/648388/download,
642440,Phylloscopus trochilus,Willow Warbler,Bodo Sonnenburg,Germany,2021-04-25,05:22,58,A,song,field recording,no,"[""Sylvia atricapilla"", ""Turdus merula"", ""Parus major""]",48000,https://xeno-canto.org/642440,https://xeno-canto.org/642440/download,
642325,Phylloscopus trochilus,Willow Warbler,Jarek Matusiak,Poland,2021-04-23,17:00,23,A,song,field recording,unknown,[],32000,https://xeno-canto.org/642325,https://xeno-canto.org/642325/download,
641260,Phylloscopus trochilus,Willow Warbler,Peter Boesman,Belgium,2021-04-20,09:30,43,A,song,field recording,unknown,[],44100,https://xeno-canto.org/641260,https://xeno-canto.org/641260/download,
639479,Phylloscopus trochilus,Willow Warbler,brickegickel,Germany,2021-04-16,08:00,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/639479,https://xeno-canto.org/639479/download,
635231,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2021-04-02,07:30,56,A,"song, complex song",field recording,yes,[],48000,https://xeno-canto.org/635231,https://xeno-canto.org/635231/download,
635230,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2021-04-02,14:00,53,A,song,field recording,yes,[],48000,https://xeno-canto.org/635230,https://xeno-canto.org/635230/download,
635229,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2021-04-02,07:30,46,A,song,field recording,yes,[],48000,https://xeno-canto.org/635229,https://xeno-canto.org/635229/download,
635227,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2021-04-02,14:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/635227,https://xeno-canto.org/635227/download,
635139,Phylloscopus trochilus,Willow Warbler,Susanne Kuijpers,Netherlands,2021-04-02,09:10,46,A,song,field recording,yes,[],44100,https://xeno-canto.org/635139,https://xeno-canto.org/635139/download,
635064,Phylloscopus trochilus,Willow Warbler,Jozef van der Heijden,Netherlands,2021-04-02,09:58,41,A,song,field recording,no,[],44100,https://xeno-canto.org/635064,https://xeno-canto.org/635064/download,
634230,Phylloscopus trochilus,Willow Warbler,Siméon Béasse,France,2020-08-04,16:30,28,A,uncertain,field recording,unknown,[],44100,https://xeno-canto.org/634230,https://xeno-canto.org/634230/download,
625927,Phylloscopus trochilus,Willow Warbler,Simon Lehnert,Switzerland,2020-04-24,09:00,55,A,song,field recording,yes,"[""Sylvia atricapilla""]",48000,https://xeno-canto.org/625927,https://xeno-canto.org/625927/download,
620075,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-07-25,07:03,47,A,call,field recording,yes,"[""Cyanistes caeruleus"", ""Columba palumbus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/620075,https://xeno-canto.org/620075/download,
610823,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2020-05-23,06:00,30,A,song,field recording,no,"[""Grus grus"", ""Saxicola rubetra""]",44100,https://xeno-canto.org/610823,https://xeno-canto.org/610823/download,
610715,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2020-05-21,08:00,27,A,song,field recording,no,"[""Curruca curruca"", ""Saxicola rubetra"", ""Emberiza hortulana""]",44100,https://xeno-canto.org/610715,https://xeno-canto.org/610715/download,
610523,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-06-24,08:15,32,A,song,field recording,yes,"[""Fringilla coelebs"", ""Turdus merula"", ""Troglodytes troglodytes"", ""Linaria cannabina""]",48000,https://xeno-canto.org/610523,https://xeno-canto.org/610523/download,
610517,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-06-24,07:03,47,A,song,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Sylvia atricapilla"", ""Turdus merula"", ""Emberiza citrinella"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/610517,https://xeno-canto.org/610517/download,
608981,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-06-15,07:36,52,A,song,field recording,yes,"[""Alauda arvensis"", ""Turdus merula"", ""Emberiza citrinella"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/608981,https://xeno-canto.org/608981/download,
598235,Phylloscopus trochilus,Willow Warbler,Niels Van Doninck,Norway,2020-06-09,14:50,22,A,song,field recording,yes,"[""Regulus regulus""]",48000,https://xeno-canto.org/598235,https://xeno-canto.org/598235/download,
597433,Phylloscopus trochilus,Willow Warbler,Alexander Henderson,United Kingdom,2020-06-14,05:48,51,A,"call, song",field recording,no,"[""Columba palumbus"", ""Phasianus colchicus""]",44100,https://xeno-canto.org/597433,https://xeno-canto.org/597433/download,
596735,Phylloscopus trochilus,Willow Warbler,Niels Van Doninck,Norway,2020-06-09,12:25,6,A,song,field recording,yes,"[""Fringilla montifringilla"", ""Spinus spinus""]",48000,https://xeno-canto.org/596735,https://xeno-canto.org/596735/download,
590471,Phylloscopus trochilus,Willow Warbler,Frode Falkenberg,Norway,2020-05-21,07:30,15,A,song,field recording,yes,"[""Curruca communis""]",44100,https://xeno-canto.org/590471,https://xeno-canto.org/590471/download,
587963,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2020-05-13,09:30,4,A,song,field recording,no,[],44100,https://xeno-canto.org/587963,https://xeno-canto.org/587963/download,
574749,Phylloscopus trochilus,Willow Warbler,Thomas Bergman,Sweden,2020-07-10,07:27,39,A,call,field recording,yes,"[""Muscicapa striata""]",44100,https://xeno-canto.org/574749,https://xeno-canto.org/574749/download,
573709,Phylloscopus trochilus,Willow Warbler,Alain Malengreau,Belgium,2020-05-25,20:40,19,A,song,field recording,yes,[],44100,https://xeno-canto.org/573709,https://xeno-canto.org/573709/download,
560790,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2020-05-16,21:00,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/560790,https://xeno-canto.org/560790/download,
560787,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2020-05-16,21:00,14,A,song,field recording,yes,[],48000,https://xeno-canto.org/560787,https://xeno-canto.org/560787/download,
552537,Phylloscopus trochilus,Willow Warbler,Mikael Litsgård,Sweden,2019-06-05,04:07,26,A,song,field recording,no,[],44100,https://xeno-canto.org/552537,https://xeno-canto.org/552537/download,
546010,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2019-05-19,21:00,34,A,song,field recording,no,"[""Branta leucopsis""]",44100,https://xeno-canto.org/546010,https://xeno-canto.org/546010/download,
544997,Phylloscopus trochilus,Willow Warbler,Jarek Matusiak,Poland,2020-04-12,15:30,47,A,"song, wings",field recording,unknown,"[""Phylloscopus collybita""]",48000,https://xeno-canto.org/544997,https://xeno-canto.org/544997/download,
543959,Phylloscopus trochilus,Willow Warbler,Mikael Litsgård,Sweden,2017-06-11,03:22,23,A,song,field recording,unknown,[],44100,https://xeno-canto.org/543959,https://xeno-canto.org/543959/download,
531099,Phylloscopus trochilus,Willow Warbler,Mikael Litsgård,Sweden,2017-06-04,04:17,36,A,song,field recording,yes,"[""Columba palumbus"", ""Phylloscopus sibilatrix""]",44100,https://xeno-canto.org/531099,https://xeno-canto.org/531099/download,
524864,Phylloscopus trochilus,Willow Warbler,W. Agster,Germany,2019-06-05,18:45,12,A,song,field recording,yes,[],48000,https://xeno-canto.org/524864,https://xeno-canto.org/524864/download,
494619,Phylloscopus trochilus,Willow Warbler,Björn Söderlund,Sweden,2018-07-26,21:00,27,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/494619,https://xeno-canto.org/494619/download,
488614,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2019-07-21,09:00,42,A,begging call,field recording,yes,"[""Spinus spinus""]",48000,https://xeno-canto.org/488614,https://xeno-canto.org/488614/download,
477809,Phylloscopus trochilus,Willow Warbler,Étienne Leroy,Poland,2019-05-06,18:00,44,A,song,field recording,yes,[],44100,https://xeno-canto.org/477809,https://xeno-canto.org/477809/download,
465780,Phylloscopus trochilus,Willow Warbler,Lauren Zwemer,Netherlands,2019-04-06,16:59,11,A,song,field recording,unknown,[],48000,https://xeno-canto.org/465780,https://xeno-canto.org/465780/download,
465471,Phylloscopus trochilus,Willow Warbler,Bodo Sonnenburg,Germany,2019-04-07,06:11,54,A,song,field recording,yes,"[""Turdus merula"", ""Parus major"", ""Poecile montanus""]",44100,https://xeno-canto.org/465471,https://xeno-canto.org/465471/download,
464496,Phylloscopus trochilus,Willow Warbler,MERCIER Christophe,France,2019-04-01,11:34,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/464496,https://xeno-canto.org/464496/download,
416970,Phylloscopus trochilus,Willow Warbler,Hans Matheve,Belgium,2018-05-21,?,35,A,song,field recording,unknown,[],48000,https://xeno-canto.org/416970,https://xeno-canto.org/416970/download,
416265,Phylloscopus trochilus,Willow Warbler,Peter Boesman,Belgium,2018-05-20,08:10,44,A,song,field recording,unknown,[],44100,https://xeno-canto.org/416265,https://xeno-canto.org/416265/download,
415141,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2018-05-13,08:00,46,A,song,field recording,yes,"[""Turdus iliacus"", ""Parus major""]",48000,https://xeno-canto.org/415141,https://xeno-canto.org/415141/download,
412488,Phylloscopus trochilus,Willow Warbler,Jerome Fischer,Switzerland,2018-04-26,10:00,15,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/412488,https://xeno-canto.org/412488/download,
